,0,1,2
0,0.10004640132188797,,
1,0.09966676549478011,,
2,0.09999100137840618,,
3,0.09938912814313715,,
4,0.09947717780416662,,
5,0.09934585601091385,,
6,0.09947615721008994,,
7,0.09964193363081325,,
8,0.0995746021379124,,
9,0.09954116566614671,,
10,0.09939014418558641,,
11,0.0994212342934175,,
12,0.09949526120315899,,
13,0.09931096320802515,,
14,0.09924417525529862,,
15,0.09910607595335354,,
16,0.09918527332219211,,
17,0.09918976363810626,,
18,0.099268901321021,,
19,0.09931540925394405,,
20,0.09911592851985584,,
21,0.09908253656192259,,
22,0.09911897949197075,,
23,0.09910613041032444,,
24,0.09891786767677828,,
25,0.09905434798110616,,
26,0.09910498610951683,,
27,0.09910583506930958,,
28,0.09922231787985021,,
29,0.09901724715124477,,
30,0.09906372091986916,,
31,0.09906587757847526,,
32,0.09911098241806031,,
33,0.09892293122681704,,
34,0.0989650981534611,,
35,0.09893130806359378,,
36,0.09902943351052024,,
37,0.09894268713214181,,
38,0.09914242752573707,,
39,0.0990262958407402,,
40,0.09893213296478445,,
41,0.09891092059287158,,
42,0.09889085265723142,,
43,0.09876948871395805,,
44,0.09891631456938657,,
45,0.09887657878073779,,
46,0.09878565555269068,,
47,0.09892072691158815,,
48,0.098692750741135,,
49,0.09888151702555743,,
50,0.09882985708388416,,
51,0.0987432071837512,,
52,0.0987257687070153,,
53,0.09873197479681535,,
54,0.09873918920755387,,
55,0.0988096220926805,,
56,0.09851644960316745,,
57,0.09884139402346177,,
58,0.0987985135750337,,
59,0.09856892222707922,,
60,0.09895565688610077,,
61,0.09870522168549624,,
62,0.09871768834916028,,
63,0.09847311727025292,,
64,0.09862502033060247,,
65,0.09837504920634356,,
66,0.09854387299581008,,
67,0.09845696435733275,,
68,0.09862165800549767,,
69,0.09835137873888015,,
70,0.09820886747403579,,
71,0.09835984243588014,,
72,0.09835449156436053,,
73,0.0979335421052846,,
74,0.09843768480149183,,
75,0.0981285441734574,,
76,0.09826172744685953,,
77,0.09797448361461812,,
78,0.09805759167129344,,
79,0.09773294559933922,,
80,0.09797710077329115,,
81,0.09770579706538807,,
82,0.09761754602193833,,
83,0.09731554779139433,,
84,0.09718049501830882,,
85,0.09726308356631885,,
86,0.09707690393382852,,
87,0.09670726190913807,,
88,0.09651263770732013,,
89,0.09632478765465996,,
90,0.09608156540177085,,
91,0.0953864931247451,,
92,0.09528320068662817,,
93,0.09453406290574508,,
94,0.09528925887563011,,
95,0.09377174483104185,,
96,0.09300711382519115,,
97,0.09313006048852747,,
98,0.09136662250215356,,
99,0.0912177868864753,,
